,Individual Fundraiser,Organization,Goal,,,
Tmonk    ,http://spring2action.razoo.com/story/Tmonk    ,Access through the Arts,"2,200",,,
Helenmarie-2,http://spring2action.razoo.com/story/Helenmarie-2,Access through the Arts,"5,000",,,
Family-Legends-Of-Alexandria-2,http://spring2action.razoo.com/story/Family-Legends-Of-Alexandria-2,Access through the Arts,,,,
Arts-On-The-Horizon-2,http://spring2action.razoo.com/story/Arts-On-The-Horizon-2,Access through the Arts,,,,
Ellen-Kelly-Holland,http://spring2action.razoo.com/story/Ellen-Kelly-Holland,Alexandria Tutoring Consortium,,,,
Spring2action-For-Atc-1,http://spring2action.razoo.com/story/Spring2action-For-Atc-1,Alexandria Tutoring Consortium,,,,
Pawsitive-Heros,http://spring2action.razoo.com/story/Pawsitive-Heros,Animal Welfare League of Alexandria,,,,
Tlc-Cats,http://spring2action.razoo.com/story/Tlc-Cats,Animal Welfare League of Alexandria,,,,
Jam-Helping-Awla,http://spring2action.razoo.com/story/Jam-Helping-Awla,Animal Welfare League of Alexandria,,,,
Regulusarcturus,http://spring2action.razoo.com/story/Regulusarcturus,Animal Welfare League of Alexandria,250,,,
Spring2action-For-Casa-Chiri,http://spring2action.razoo.com/story/Spring2action-For-Casa-Chiri,Casa Chirilagua,,,,
Peggy-And-Bill-Spring-2-Action-For-Alexandria-S-Children,http://spring2action.razoo.com/story/Peggy-And-Bill-Spring-2-Action-For-Alexandria-S-Children,Center for Alexandria's Children,,,,
The-Bluebins-Love-The-Cac,http://spring2action.razoo.com/story/The-Bluebins-Love-The-Cac,Center for Alexandria's Children,500,,,
Help-Omar-And-Grace-Help-Alexandria-S-Children,http://www.razoo.com/story/Help-Omar-And-Grace-Help-Alexandria-S-Children,Center for Alexandria's Children,1000,,,
A-Push-Up-For-Every-Donated,http://spring2action.razoo.com/story/A-Push-Up-For-Every-Donated,Computer CORE,4000,,,
Jessefripp,http://spring2action.razoo.com/story/Jessefripp,Empowered Women International,,,,
Barbarawilliamson,http://spring2action.razoo.com/story/Barbarawilliamson,Empowered Women International,,,,
Kristinaewi,http://spring2action.razoo.com/story/Kristinaewi,Empowered Women International,,,,
Ewiwhiteteam,http://spring2action.razoo.com/story/Ewiwhiteteam,Empowered Women International,,,,
Katecampbellstevenson,http://spring2action.razoo.com/story/Katecampbellstevenson,Empowered Women International,,,,
Diannelorenz,http://spring2action.razoo.com/story/Diannelorenz,Empowered Women International,,,,
Ewi-Red-Team,http://spring2action.razoo.com/story/Ewi-Red-Team,Empowered Women International,,,,
Cubantabasco,http://spring2action.razoo.com/story/Cubantabasco,Empowered Women International,,,,
This-Is-Why-We-Can-T-Have-N-Ice-Things,http://spring2action.razoo.com/story/This-Is-Why-We-Can-T-Have-N-Ice-Things,Gadsby's Tavern,300,,,
Mymommysicewell,http://spring2action.razoo.com/story/Mymommysicewell,Gadsby's Tavern,500,,,
Restore-An-18th-Century-Refrigerator,http://spring2action.razoo.com/story/Restore-An-18th-Century-Refrigerator,Gadsby's Tavern,500,,,
Alexandria-S-Colonial-Beer-Frig,http://spring2action.razoo.com/story/Alexandria-S-Colonial-Beer-Frig,Gadsby's Tavern,500,,,
Rebuildingtogetheralex,http://spring2action.razoo.com/Rebuildingtogetheralex,Rebuilding Together Alexandria,500,,,
Always-A-Titan,http://spring2action.razoo.com/story/Always-A-Titan,TC Williams,,,,
Dawn-S-Asking-You-For-Money-It-S-Cool-You-Can-Write-It-Off,http://spring2action.razoo.com/story/Dawn-S-Asking-You-For-Money-It-S-Cool-You-Can-Write-It-Off,Torpedo Factory Arts Center,,,,
Marie-Drissel,http://www.razoo.com/story/Marie-Drissel,The Art League,300,,,en in 
Support-Your-Passion-For-The-Classical-Figure,http://spring2action.razoo.com/story/Support-Your-Passion-For-The-Classical-Figure,The Art League,5000,,,
Gocorakelly2012,http://spring2action.razoo.com/story/Gocorakelly2012,Cora Kelly Magnet Elementary PTA,,,,
Gocorakelly,http://spring2action.razoo.com/story/Gocorakelly,Cora Kelly Magnet Elementary PTA,,,,
Linda-30-Something-Builders,http://spring2action.razoo.com/story/Linda-30-Something-Builders,The Art League,,,,
Kathy-S-Soho-Gang,http://spring2action.razoo.com/story/Kathy-S-Soho-Gang,,,,,
Help-Homeless-Animals,http://spring2action.razoo.com/story/Help-Homeless-Animals,,,,,
