,Which category are your registering for?,Nonprofit - Company,Nonprofit - Address 1,Nonprofit - Address 2,City,State,ZIP,Contact Person - First Name,Contact Person - Last Name,Phone,Email
263033847,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Abbey's Hope Charitable Foundation,"5021 Vernon Avenue, Suite 164",,Edina,MN,55436,Samantha,Carolus,9523035421,sam@abbeyshope.org
237131829,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",AccountAbility Minnesota,2610 University Ave W.,Suite 450,St. Paul,MN,55114,Adam,Faitek,(651) 262-2153,afaitek@accountabilitymn.org
411789659,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",ACES (Athletes Committed to Educating Students),1115 East Hennepin Ave,,Minneapolis,MN,55414,Chad,Caruthers,6123313454,chadc@aces4kids.org
410912097,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.","ACTS, Inc.",802 East Fairview Avenue,,Olivia,MN,56277,Karen,Borden,(320)523-5666,kborden@mchsi.com
411879712,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",All God's Children Learning Center,4735 Bassett Cr. Dr.,,Golden Valley,MN,55422,Barbara,Mikelson,(763)588-5437,barb@allgodschildrenlearningcenter.org
411296342,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",All Saints Lutheran Church,8100 Belden Blvd,,Cottage Grove,MN,55016,Kara,Rogers,(651)459-1117,office@allsaintscg.org
411977419,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Alliance for Metropolitan Stability,2525 E Franklin Avenue,Suite 200,Minneapolis,MN,55406,Ebony,Adedayo,6517178060,ebony@metrostability.org
411451709,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Alliance for Sustainability,1521 University Ave SE,,Minneapolis,MN,55414,Sean,Gosiewski,6122500389,sean@afors.org
510178191,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Alliance Fran̤aise of the Twin Cities,113 N First Street,,Minneapolis,MN,55401,Christina,Selander Bouzouina,612 332 0436,directeur@afmsp.org
411717910,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Alliance Housing Incorporated,2309 Nicollet Avenue,,Minneapolis,MN,55404,Lynne,Rectenwald,612-870-2267,lrectenwald@alliancehousinginc.org
411925673,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Alpha Kappa Psi Scholarship Fund,PO Box 390604,,Minneapolis,MN,55439-0604,Myron,Martin,952-941-5372,myronmartin@comcast.net
270300026,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",American Indian Cancer Foundation,800 IDS Center,80 South 8th Street,Minneapolis,MN,55402,Kristine,Rhodes,612-672-8668,krhodes@aicaf.org
142004438,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Ampersand Families,1700 Second St. NE,,Minneapolis,MN,55413,Jen,Braun,(612)605-1903,jen@ampersandfamilies.org
204261878,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Ananya Dance Theatre,500 21st Ave S,,Minneapolis,MN,55455,Ananya,Chatterjea,(612)626-2280,admin@ananyadancetheatre.org
411447555,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Angelica Cantanti Youth Choirs,1800 W. Old Shakopee Road,,Bloomington,MN,55431,Audrey,Riddle,952-563-8572,angelicayouthchoirs@gmail.com
410960032,"I am a MEDIUM nonprofit. I verify that my nonprofit's annual revenue is more than $100,000.00 and less than $1,000,000.00 based on my 2011 IRS Form 990 revenue.",Anishinabe Legal Services,PO Box 157,,Cass Lake,MN,56633,Chari,LaDuke,2183352223,claduke@alslegal.org
