300171971,The Park City Foundation
841411225,AAA Fair Credit Foundation
870490211,Adopt A Native Elder Program
841383486,Aging and Family Services Fund
870513670,Alf Engen Ski  Museum Foundation
134284694,Another Way School
870642667,"Arts-Kids, Inc."
205533479,Axis Freeride
870336168,Big Brothers Big Sisters of Utah
274402344,Canines With a Cause
870643778,Christian Center of Park City
870491952,Community Action Services and Food Bank
510145980,Deer Valley Music Festival
272394840,DesignBuildBLUFF
942562430,Discovery Gateway Childrenês Museum
942773017,Egyptian Theatre
870482464,Friends of Animals
274679702,Friends of Kinds Peak
870674400,Friends of the Park City Library
870533842,Friends of the Summit County Library
870481453,Friends of the Utah Avalanche Center
870221612,Girl Scouts of Utah
830461507,gurlfytrz
870539094,Habitat for Humanity of Summit & Wasatch Counties
850358519,HawkWatch International
870359324,Holy Cross Ministries
870641198,Hope Alliance
870664958,Image Reborn Foundation
870227089,Jewish Family Service
870321132,Kimball Art Center
942528451,KPCW Radio
870514438,Mountain Land Community Housing Trust (NCHT)
870669814,Mountain Town Music
870514223,Mountan Trails Foundation
943025807,National Ability Center
870466931,Park City Chamber Music Society
870449223,Park City Cooperative Preschool
870530835,Park City Day School
742552454,Park City Education Foundation
870640501,Park City Film Series
593810981,Park City Freestyle Ski Team
The-Park-City-Museum,Park City Historical Society and Museum
453701873,Park City Karate Booster Club
870654570,Park City Medical Center Foundation
870513186,Park City Performing Arts Foundation
271672866,Park City Sailing Association
870360514,Park City Ski Education Foundation
742457798,Park City Summit County Arts Council
,Park City Women's Business Network
870500067,Peace House
870288909,Planned Parenthood Association of Utah
870480848,Recycle Utah
800015850,Salt Lake Climbers Alliance
261320786,Spiro Arts
870622430,Summit Community Gardens
421538872,Summit Land Conservancy
Swanerecocenter,Swaner EcoCenter
270733209,Team Utah Snowboarding
870655902,The Conservatory
870638042,The Peoples Health Clinic
452875954,The Speedy Foundation
274096784,The Utah 1033 Foundation
846030639,U.S. Ski and Snowboard Association
870282380,United Jewish Federation of Utah
870227091,United Way of Salt Lake
274039576,"US Paralympic Bobsled & Skeleton Association, Inc"
870212453,Utah Food Bank
870684606,Utah Health Policy Project
841367913,Utah Olympic Legacy Foundation
942938348,Valley Mental Health Inc
870529281,Wasatch Freestyle Foundation
264710117,Weilenmann School of Discovery
331165635,Wildlife Protection Society
870565973,Winter Sports School
470924604,Women's Ski Jumping
870212472,YMCA of Northern Utah
522383750,Youth Winter Sports Alliance
870678393,Youthlinc
